Variable,Type,id,coefficient
gender,1,0b.female,0
gender,1,1.female,0.329040163
pre_hx_htn,1,0b.htn,0
pre_hx_htn,1,1.htn,0.011385555
hxsmk,1,0b.smoke,0
hxsmk,1,1.smoke,0.021813418
no_college,1,0b.not_college_bin,0
no_college,1,1.not_college_bin,-0.030825941
insurance,1,0b.insurance_pre,0
insurance,1,1.insurance_pre,0.484185183
adi,1,0b.adi_bin,0
adi,1,1.adi_bin,-0.204554861
race,1,0b.race_howell,0
race,1,1.race_howell,0.159811014
race,1,2.race_howell,-0.214642554
race,1,3.race_howell,-0.307328564
age,0,age,0.123048319
bmi,0,bmi,0.115164458
sbp,0,sbp,-0.030059296
dbp,0,dbp,0.119894905
egfr,0,egfr_pre,0.066931713
income,0,income,-0.031254524
# flick 20250409213608-IHDj
# flick 20250409214214-OnpA
# flick 20250409214630-F4Uc
# flick 20250409230600-D4bs
# flick 20250410002731-SK6G
# flick 20250410003640-DUEQ
# flick 20250410010501-7WVT
# flick 20250410013802-8Qgk
# flick 20250410021548-wkKj
# flick 20250410023040-9rcJ
# flick 20250410031042-vv60
# flick 20250410032335-2EQf
# flick 20250410133824-ZFix
# flick 20250410134052-3pbM
# flick 20250410152047-eWqp
# flick 20250410153406-uuku
# flick 20250410162339-oyde
